,Powiat,Laczna ilosc glosow,Laczna ilosc glosow niewaznych,Poprzez brak głosu,Poprzez zbyt wiele głosów
282,Miasto na prawach powiatu Ruda Śląska,71890,971,485,486
283,Miasto na prawach powiatu Siemianowice Śląskie,35813,506,244,262
284,Miasto na prawach powiatu Świętochłowice,23878,420,164,256
285,Miasto na prawach powiatu Tychy,71896,810,437,373
286,Powiat będziński,86052,1087,429,658
287,Powiat zawierciański,66976,1065,403,662
288,Miasto na prawach powiatu Dąbrowa Górnicza,67467,698,329,369
289,Miasto na prawach powiatu Jaworzno,50472,658,297,361
290,Miasto na prawach powiatu Sosnowiec,111668,1168,518,650
291,Powiat buski,40583,900,372,462
292,Powiat jędrzejowski,46344,1024,366,577
293,Powiat kazimierski,17046,369,150,186
294,Powiat kielecki,119998,2550,916,1454
295,Powiat konecki,43461,972,392,512
296,Powiat opatowski,26755,815,337,424
297,Powiat ostrowiecki,54801,1202,487,593
298,Powiat pińczowski,20875,498,202,253
299,Powiat sandomierski,40152,884,296,525
300,Powiat skarżyski,40147,714,277,356
301,Powiat starachowicki,46780,915,384,465
302,Powiat staszowski,37939,890,341,479
303,Powiat włoszczowski,24917,520,222,276
304,Miasto na prawach powiatu Kielce,112791,1204,558,526
305,Powiat bartoszycki,26749,913,267,566
306,Powiat braniewski,18700,619,163,403
307,Powiat działdowski,32276,1045,315,669
308,Powiat elbląski,27371,856,273,525
309,Powiat iławski,47405,1333,429,826
310,Powiat lidzbarski,19042,611,153,407
311,Powiat nowomiejski,21951,638,213,388
312,Powiat ostródzki,51012,1625,526,1008
313,Miasto na prawach powiatu Elbląg,63425,911,343,456
314,Powiat ełcki,40380,965,310,565
315,Powiat giżycki,28188,800,265,471
316,Powiat kętrzyński,27961,895,247,566
317,Powiat mrągowski,24532,676,218,392
318,Powiat nidzicki,15636,576,188,351
319,Powiat olecki,14730,437,145,251
320,Powiat olsztyński,67555,1959,611,1142
321,Powiat piski,25777,742,254,445
322,Powiat szczycieński,35121,1235,382,762
323,Powiat gołdapski,11699,380,107,249
324,Powiat węgorzewski,10853,369,111,227
325,Miasto na prawach powiatu Olsztyn,98942,1282,600,514
326,Powiat gostyński,40040,1200,377,692
327,Powiat jarociński,38795,1002,279,622
328,Powiat kaliski,46305,1181,396,675
329,Powiat kępiński,31493,810,273,481
330,Powiat kościański,46024,1372,501,748
331,Powiat krotoszyński,41204,1079,354,593
332,Powiat leszczyński,33326,1093,396,642
333,Powiat ostrowski,90782,2020,684,1151
334,Powiat ostrzeszowski,30407,831,266,509
335,Powiat pleszewski,34239,1014,307,625
336,Powiat rawicki,33198,1098,346,640
337,Miasto na prawach powiatu Kalisz,55160,842,281,502
338,Miasto na prawach powiatu Leszno,35356,520,179,292
339,Powiat gnieźnieński,81520,1855,593,1124
340,Powiat kolski,45298,1185,460,652
341,Powiat koniński,71359,2009,674,1226
342,Powiat słupecki,32213,1050,311,690
343,Powiat średzki,34683,855,317,476
344,Powiat śremski,34145,882,281,512
345,Powiat turecki,45768,997,380,519
346,Powiat wrzesiński,44581,979,291,589
347,Miasto na prawach powiatu Konin,40035,547,205,296
348,Powiat chodzieski,25950,765,201,486
349,Powiat czarnkowsko-trzcianecki,45478,1419,452,861
350,Powiat grodziski,28009,798,269,456
351,Powiat międzychodzki,19767,563,160,346
352,Powiat nowotomyski,42509,1004,304,607
353,Powiat obornicki,32967,979,260,664
354,Powiat pilski,71847,1662,489,1001
355,Powiat szamotulski,54084,1470,462,897
356,Powiat wągrowiecki,37822,1151,315,723
357,Powiat wolsztyński,32295,986,354,548
358,Powiat złotowski,34386,1082,290,694
359,Powiat poznański,263014,3266,1328,1938
360,Miasto na prawach powiatu Poznań,339152,2862,1389,1473
361,Powiat białogardzki,22009,661,236,425
362,Powiat choszczeński,22753,810,253,557
363,Powiat drawski,27300,775,262,513
364,Powiat kołobrzeski,48669,923,356,567
365,Powiat koszaliński,34773,1045,342,703
366,Powiat sławieński,29058,776,246,530
367,Powiat szczecinecki,37167,965,282,683
368,Powiat świdwiński,22310,646,234,412
369,Powiat wałecki,26424,663,191,472
370,Miasto na prawach powiatu Koszalin,59759,809,312,497
371,Powiat goleniowski,43763,1156,435,721
372,Powiat gryficki,29741,854,300,554
373,Powiat gryfiński,40848,1119,412,707
374,Powiat kamieński,24839,679,215,464
375,Powiat myśliborski,31751,860,273,587
376,Powiat policki,47593,656,287,369
377,Powiat pyrzycki,19196,561,205,356
378,Powiat stargardzki,63963,1296,493,803
379,Powiat łobeski,16420,614,210,404
380,Miasto na prawach powiatu Szczecin,223055,2349,1175,1174
381,Miasto na prawach powiatu Świnoujście,23566,283,117,166
