Powiat,URL
Powiat rybnicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/241200
Powiat wodzisławski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/241500
Miasto na prawach powiatu Jastrzębie-Zdrój,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/246700
Miasto na prawach powiatu Rybnik,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/247300
Miasto na prawach powiatu Żory,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/247900
Powiat bieruńsko-lędziński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/241400
Miasto na prawach powiatu Chorzów,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/246300
Miasto na prawach powiatu Katowice,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/246900
Miasto na prawach powiatu Mysłowice,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/247000
Miasto na prawach powiatu Piekary Śląskie,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/247100
Miasto na prawach powiatu Ruda Śląska,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/247200
Miasto na prawach powiatu Siemianowice Śląskie,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/247400
Miasto na prawach powiatu Świętochłowice,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/247600
Miasto na prawach powiatu Tychy,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/247700
Powiat będziński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/240100
Powiat zawierciański,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/241600
Miasto na prawach powiatu Dąbrowa Górnicza,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/246500
Miasto na prawach powiatu Jaworzno,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/246800
Miasto na prawach powiatu Sosnowiec,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/247500
Powiat buski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/260100
Powiat jędrzejowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/260200
Powiat kazimierski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/260300
Powiat kielecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/260400
Powiat konecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/260500
Powiat opatowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/260600
Powiat ostrowiecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/260700
Powiat pińczowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/260800
Powiat sandomierski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/260900
Powiat skarżyski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/261000
Powiat starachowicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/261100
Powiat staszowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/261200
Powiat włoszczowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/261300
Miasto na prawach powiatu Kielce,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/266100
Powiat bartoszycki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/280100
Powiat braniewski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/280200
Powiat działdowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/280300
Powiat elbląski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/280400
Powiat iławski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/280700
Powiat lidzbarski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/280900
Powiat nowomiejski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/281200
Powiat ostródzki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/281500
Miasto na prawach powiatu Elbląg,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/286100
Powiat ełcki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/280500
Powiat giżycki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/280600
Powiat kętrzyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/280800
Powiat mrągowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/281000
Powiat nidzicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/281100
Powiat olecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/281300
Powiat olsztyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/281400
Powiat piski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/281600
Powiat szczycieński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/281700
Powiat gołdapski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/281800
Powiat węgorzewski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/281900
Miasto na prawach powiatu Olsztyn,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/286200
Powiat gostyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/300400
Powiat jarociński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/300600
Powiat kaliski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/300700
Powiat kępiński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/300800
Powiat kościański,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/301100
Powiat krotoszyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/301200
Powiat leszczyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/301300
Powiat ostrowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/301700
Powiat ostrzeszowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/301800
Powiat pleszewski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/302000
Powiat rawicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/302200
Miasto na prawach powiatu Kalisz,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/306100
Miasto na prawach powiatu Leszno,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/306300
Powiat gnieźnieński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/300300
Powiat kolski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/300900
Powiat koniński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/301000
Powiat słupecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/302300
Powiat średzki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/302500
Powiat śremski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/302600
Powiat turecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/302700
Powiat wrzesiński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/303000
Miasto na prawach powiatu Konin,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/306200
Powiat chodzieski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/300100
Powiat czarnkowsko-trzcianecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/300200
Powiat grodziski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/300500
Powiat międzychodzki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/301400
Powiat nowotomyski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/301500
Powiat obornicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/301600
Powiat pilski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/301900
Powiat szamotulski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/302400
Powiat wągrowiecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/302800
Powiat wolsztyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/302900
Powiat złotowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/303100
Powiat poznański,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/302100
Miasto na prawach powiatu Poznań,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/306400
Powiat białogardzki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/320100
Powiat choszczeński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/320200
Powiat drawski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/320300
Powiat kołobrzeski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/320800
Powiat koszaliński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/320900
Powiat sławieński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/321300
Powiat szczecinecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/321500
Powiat świdwiński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/321600
Powiat wałecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/321700
Miasto na prawach powiatu Koszalin,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/326100
