Powiat,URL
Powiat świdnicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/61700
Miasto na prawach powiatu Lublin,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/66300
Powiat bialski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/60100
Powiat biłgorajski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/60200
Powiat chełmski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/60300
Powiat hrubieszowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/60400
Powiat krasnostawski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/60600
Powiat parczewski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/61300
Powiat radzyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/61500
Powiat tomaszowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/61800
Powiat włodawski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/61900
Powiat zamojski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/62000
Miasto na prawach powiatu Biała Podlaska,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/66100
Miasto na prawach powiatu Chełm,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/66200
Miasto na prawach powiatu Zamość,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/66400
Powiat gorzowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/80100
Powiat krośnieński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/80200
Powiat międzyrzecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/80300
Powiat nowosolski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/80400
Powiat słubicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/80500
Powiat strzelecko-drezdenecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/80600
